entidad,municipio,seccion,section_id,pan_2018_votos,total_2018,pct_pan_2018,source_rows_2018
11,020,1375,110201375,191,364,52.472527472527474,1
11,020,1376,110201376,159,333,47.74774774774775,1
11,020,1377,110201377,187,404,46.28712871287129,1
11,020,1378,110201378,186,392,47.44897959183674,1
11,020,1379,110201379,248,457,54.26695842450766,2
11,020,1380,110201380,128,221,57.9185520361991,1
11,020,1381,110201381,112,277,40.43321299638989,1
11,020,1382,110201382,241,503,47.912524850894634,2
11,020,1383,110201383,221,370,59.72972972972973,1
11,020,1384,110201384,232,429,54.07925407925408,1
11,020,1385,110201385,466,856,54.4392523364486,2
11,020,1386,110201386,252,509,49.50884086444008,2
11,020,1387,110201387,430,820,52.4390243902439,3
11,020,1388,110201388,317,673,47.102526002971764,2
11,020,1389,110201389,319,612,52.12418300653595,2
11,020,1390,110201390,494,1007,49.056603773584904,3
11,020,1391,110201391,1854,2878,64.41973592772759,6
11,020,1393,110201393,323,656,49.23780487804878,2
11,020,1394,110201394,597,994,60.06036217303823,2
11,020,1395,110201395,376,723,52.00553250345782,2
11,020,1396,110201396,516,1045,49.377990430622006,3
11,020,1397,110201397,361,695,51.94244604316547,2
11,020,1398,110201398,313,597,52.428810720268004,2
11,020,1399,110201399,188,316,59.49367088607595,1
11,020,1400,110201400,293,520,56.34615384615385,1
11,020,1401,110201401,184,340,54.11764705882353,1
11,020,1402,110201402,170,293,58.02047781569966,1
11,020,1403,110201403,112,231,48.484848484848484,1
11,020,1404,110201404,165,402,41.04477611940299,1
11,020,1405,110201405,183,426,42.95774647887324,2
11,020,1406,110201406,142,252,56.34920634920635,1
11,020,1407,110201407,215,407,52.825552825552826,1
11,020,1408,110201408,303,567,53.43915343915344,2
11,020,1409,110201409,337,683,49.341142020497806,2
11,020,1410,110201410,300,550,54.54545454545454,2
11,020,1411,110201411,322,622,51.76848874598071,2
11,020,1412,110201412,389,709,54.86600846262342,2
11,020,1413,110201413,313,564,55.49645390070922,2
11,020,1414,110201414,865,1737,49.798503166378815,4
11,020,1415,110201415,818,1527,53.5690897184021,4
11,020,1416,110201416,292,624,46.794871794871796,2
11,020,1417,110201417,262,459,57.08061002178649,2
11,020,1418,110201418,235,442,53.16742081447964,1
11,020,1419,110201419,106,229,46.288209606986904,1
11,020,1420,110201420,117,262,44.656488549618324,1
11,020,1421,110201421,225,425,52.94117647058824,1
11,020,1422,110201422,185,298,62.08053691275168,1
11,020,1423,110201423,121,225,53.77777777777778,1
11,020,1424,110201424,150,317,47.3186119873817,1
11,020,1425,110201425,156,342,45.614035087719294,1
11,020,1426,110201426,152,292,52.054794520547944,1
11,020,1427,110201427,205,361,56.78670360110804,1
11,020,1428,110201428,219,421,52.01900237529691,1
11,020,1429,110201429,97,240,40.416666666666664,1
11,020,1430,110201430,195,343,56.85131195335277,1
11,020,1431,110201431,116,240,48.333333333333336,1
11,020,1432,110201432,128,250,51.2,1
11,020,1433,110201433,171,305,56.0655737704918,1
11,020,1434,110201434,139,309,44.983818770226534,1
11,020,1435,110201435,153,342,44.73684210526316,1
11,020,1436,110201436,286,639,44.75743348982786,2
11,020,1437,110201437,591,1017,58.11209439528023,2
11,020,1438,110201438,523,913,57.283680175246445,3
11,020,1439,110201439,487,745,65.36912751677852,2
11,020,1440,110201440,394,643,61.27527216174183,2
11,020,1441,110201441,117,224,52.23214285714286,1
11,020,1442,110201442,123,269,45.72490706319702,1
11,020,1443,110201443,139,313,44.40894568690096,1
11,020,1444,110201444,136,266,51.127819548872175,1
11,020,1445,110201445,90,191,47.12041884816754,1
11,020,1446,110201446,182,322,56.52173913043478,1
11,020,1447,110201447,163,329,49.544072948328264,1
11,020,1448,110201448,174,343,50.72886297376093,1
11,020,1449,110201449,100,206,48.54368932038835,1
11,020,1450,110201450,1167,2037,57.2901325478645,5
11,020,1451,110201451,374,785,47.64331210191083,2
11,020,1452,110201452,345,698,49.4269340974212,2
11,020,1453,110201453,448,928,48.275862068965516,2
